"DatePosted","CVE","BulletinKB","Title","AffectedProduct","AffectedComponent","Severity","Impact","Exploits"
"20120508","CVE-2011-3402","2676562","Combined Security Update for Microsoft Office, Windows, .NET Framework, and Silverlight","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","","Critical","Remote Code Execution",""
"20120508","CVE-2011-3402","2676562","Combined Security Update for Microsoft Office, Windows, .NET Framework, and Silverlight","Microsoft Windows Server 2003 x64 Edition Service Pack 2","","Critical","Remote Code Execution",""
"20120508","CVE-2011-3402","2659262","Combined Security Update for Microsoft Office, Windows, .NET Framework, and Silverlight","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","","Critical","Remote Code Execution",""
"20120508","CVE-2011-3402","2659262","Combined Security Update for Microsoft Office, Windows, .NET Framework, and Silverlight","Microsoft Windows Server 2003 x64 Edition Service Pack 2","","Critical","Remote Code Execution",""
"20120508","CVE-2011-3402","2686509","Combined Security Update for Microsoft Office, Windows, .NET Framework, and Silverlight","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","","Critical","Remote Code Execution",""
"20120508","CVE-2011-3402","2686509","Combined Security Update for Microsoft Office, Windows, .NET Framework, and Silverlight","Microsoft Windows Server 2003 x64 Edition Service Pack 2","","Critical","Remote Code Execution",""
"20050330","SPSRV3X86SP1","SPSRV3X86SP1","Microsoft Windows Server 2003 Service Pack 1","Microsoft Windows Server 2003","","Critical","No more updates",""
"20140610","CVE-2014-1769","2957689","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Internet Explorer 7","Critical","Remote Code Execution","https://exploit-db.com/exploits/34010"
"20140610","CVE-2014-1769","2957689","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2","Windows Internet Explorer 7","Critical","Remote Code Execution","https://exploit-db.com/exploits/34010"
"20140610","CVE-2014-1769","2957689","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Windows Internet Explorer 8","Critical","Remote Code Execution","https://exploit-db.com/exploits/34010"
"20140610","CVE-2014-1769","2957689","Cumulative Security Update for Internet Explorer","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Microsoft Internet Explorer 6.0","Critical","Remote Code Execution","https://exploit-db.com/exploits/34010"
